county,precinct,office,district,party,candidate,votes
Wayne,20,Secretary of State,,LIB,John S. Buckley,9
Wayne,21,Secretary of State,,REP,Mac Warner,130
Wayne,21,Secretary of State,,DEM,Natalie Tennant,123
Wayne,21,Secretary of State,,LIB,John S. Buckley,8
Wayne,22,Secretary of State,,REP,Mac Warner,192
Wayne,22,Secretary of State,,DEM,Natalie Tennant,202
Wayne,22,Secretary of State,,LIB,John S. Buckley,16
Wayne,30,Secretary of State,,REP,Mac Warner,235
Wayne,30,Secretary of State,,DEM,Natalie Tennant,270
Wayne,30,Secretary of State,,LIB,John S. Buckley,21
Wayne,31,Secretary of State,,REP,Mac Warner,102
Wayne,31,Secretary of State,,DEM,Natalie Tennant,108
Wayne,31,Secretary of State,,LIB,John S. Buckley,5
Wayne,34,Secretary of State,,REP,Mac Warner,103
